id,label,00_raw,01_strip_entity_tag,02_unescape_html,03_remove_urls,04_remove_mentions,05_unwrap_hashtags,06_lowercase,07_expand_contractions,08_squash_elongation,09_strip_symbols,10_normalise_space,11_tokenized,12_numeric_dropped,13_stopwords_removed,14_lemmatized,15_short_dropped,cleaned_text
6,Positive,"Thank you so much to members who came out to @borderlands_sf Monday to witness @megelison and I talking about queer families, skillsharing, and fighting fascism through caring for our communities! what you great night.","Thank you so much to members who came out to @borderlands_sf Monday to witness @megelison and I talking about queer families, skillsharing, and fighting fascism through caring for our communities! what you great night.","Thank you so much to members who came out to @borderlands_sf Monday to witness @megelison and I talking about queer families, skillsharing, and fighting fascism through caring for our communities! what you great night.","Thank you so much to members who came out to @borderlands_sf Monday to witness @megelison and I talking about queer families, skillsharing, and fighting fascism through caring for our communities! what you great night.","Thank you so much to members who came out to   Monday to witness   and I talking about queer families, skillsharing, and fighting fascism through caring for our communities! what you great night.","Thank you so much to members who came out to   Monday to witness   and I talking about queer families, skillsharing, and fighting fascism through caring for our communities! what you great night.","thank you so much to members who came out to   monday to witness   and i talking about queer families, skillsharing, and fighting fascism through caring for our communities! what you great night.","thank you so much to members who came out to   monday to witness   and i talking about queer families, skillsharing, and fighting fascism through caring for our communities! what you great night.","thank you so much to members who came out to  monday to witness  and i talking about queer families, skillsharing, and fighting fascism through caring for our communities! what you great night.",thank you so much to members who came out to  monday to witness  and i talking about queer families  skillsharing  and fighting fascism through caring for our communities  what you great night ,thank you so much to members who came out to monday to witness and i talking about queer families skillsharing and fighting fascism through caring for our communities what you great night,thank you so much to members who came out to monday to witness and i talking about queer families skillsharing and fighting fascism through caring for our communities what you great night,thank you so much to members who came out to monday to witness and i talking about queer families skillsharing and fighting fascism through caring for our communities what you great night,thank much members came monday witness talking queer families skillsharing fighting fascism caring communities great night,thank much member come monday witness talk queer family skillsharing fight fascism care community great night,thank much member come monday witness talk queer family skillsharing fight fascism care community great night,thank much member come monday witness talk queer family skillsharing fight fascism care community great night
6,Positive,"Thank you so much to communities who came out to @borderlands_sf Monday to members @megelison you I talking about queer families, skillsharing, and fighting fascism through caring for our witness! what and great night.","Thank you so much to communities who came out to @borderlands_sf Monday to members @megelison you I talking about queer families, skillsharing, and fighting fascism through caring for our witness! what and great night.","Thank you so much to communities who came out to @borderlands_sf Monday to members @megelison you I talking about queer families, skillsharing, and fighting fascism through caring for our witness! what and great night.","Thank you so much to communities who came out to @borderlands_sf Monday to members @megelison you I talking about queer families, skillsharing, and fighting fascism through caring for our witness! what and great night.","Thank you so much to communities who came out to   Monday to members   you I talking about queer families, skillsharing, and fighting fascism through caring for our witness! what and great night.","Thank you so much to communities who came out to   Monday to members   you I talking about queer families, skillsharing, and fighting fascism through caring for our witness! what and great night.","thank you so much to communities who came out to   monday to members   you i talking about queer families, skillsharing, and fighting fascism through caring for our witness! what and great night.","thank you so much to communities who came out to   monday to members   you i talking about queer families, skillsharing, and fighting fascism through caring for our witness! what and great night.","thank you so much to communities who came out to  monday to members  you i talking about queer families, skillsharing, and fighting fascism through caring for our witness! what and great night.",thank you so much to communities who came out to  monday to members  you i talking about queer families  skillsharing  and fighting fascism through caring for our witness  what and great night ,thank you so much to communities who came out to monday to members you i talking about queer families skillsharing and fighting fascism through caring for our witness what and great night,thank you so much to communities who came out to monday to members you i talking about queer families skillsharing and fighting fascism through caring for our witness what and great night,thank you so much to communities who came out to monday to members you i talking about queer families skillsharing and fighting fascism through caring for our witness what and great night,thank much communities came monday members talking queer families skillsharing fighting fascism caring witness great night,thank much community come monday member talk queer family skillsharing fight fascism care witness great night,thank much community come monday member talk queer family skillsharing fight fascism care witness great night,thank much community come monday member talk queer family skillsharing fight fascism care witness great night
6,Positive,"Thank you so out to members who came much to @and Monday to witness @megelison and I talking about queer families, skillsharing, borderlands_sf fighting fascism through caring for our night! what you great communities.","Thank you so out to members who came much to @and Monday to witness @megelison and I talking about queer families, skillsharing, borderlands_sf fighting fascism through caring for our night! what you great communities.","Thank you so out to members who came much to @and Monday to witness @megelison and I talking about queer families, skillsharing, borderlands_sf fighting fascism through caring for our night! what you great communities.","Thank you so out to members who came much to @and Monday to witness @megelison and I talking about queer families, skillsharing, borderlands_sf fighting fascism through caring for our night! what you great communities.","Thank you so out to members who came much to   Monday to witness   and I talking about queer families, skillsharing, borderlands_sf fighting fascism through caring for our night! what you great communities.","Thank you so out to members who came much to   Monday to witness   and I talking about queer families, skillsharing, borderlands_sf fighting fascism through caring for our night! what you great communities.","thank you so out to members who came much to   monday to witness   and i talking about queer families, skillsharing, borderlands_sf fighting fascism through caring for our night! what you great communities.","thank you so out to members who came much to   monday to witness   and i talking about queer families, skillsharing, borderlands_sf fighting fascism through caring for our night! what you great communities.","thank you so out to members who came much to  monday to witness  and i talking about queer families, skillsharing, borderlands_sf fighting fascism through caring for our night! what you great communities.",thank you so out to members who came much to  monday to witness  and i talking about queer families  skillsharing  borderlands sf fighting fascism through caring for our night  what you great communities ,thank you so out to members who came much to monday to witness and i talking about queer families skillsharing borderlands sf fighting fascism through caring for our night what you great communities,thank you so out to members who came much to monday to witness and i talking about queer families skillsharing borderlands sf fighting fascism through caring for our night what you great communities,thank you so out to members who came much to monday to witness and i talking about queer families skillsharing borderlands sf fighting fascism through caring for our night what you great communities,thank members came much monday witness talking queer families skillsharing borderlands sf fighting fascism caring night great communities,thank member come much monday witness talk queer family skillsharing borderlands sf fight fascism care night great community,thank member come much monday witness talk queer family skillsharing borderlands sf fight fascism care night great community,thank member come much monday witness talk queer family skillsharing borderlands sf fight fascism care night great community
6,Positive,"Thank you so much to members who came out to @borderlands_sf Monday to member appendage witness @megelison and I talking about queer almost families, skillsharing, and fighting fascism through caring for our communities! what you great night.","Thank you so much to members who came out to @borderlands_sf Monday to member appendage witness @megelison and I talking about queer almost families, skillsharing, and fighting fascism through caring for our communities! what you great night.","Thank you so much to members who came out to @borderlands_sf Monday to member appendage witness @megelison and I talking about queer almost families, skillsharing, and fighting fascism through caring for our communities! what you great night.","Thank you so much to members who came out to @borderlands_sf Monday to member appendage witness @megelison and I talking about queer almost families, skillsharing, and fighting fascism through caring for our communities! what you great night.","Thank you so much to members who came out to   Monday to member appendage witness   and I talking about queer almost families, skillsharing, and fighting fascism through caring for our communities! what you great night.","Thank you so much to members who came out to   Monday to member appendage witness   and I talking about queer almost families, skillsharing, and fighting fascism through caring for our communities! what you great night.","thank you so much to members who came out to   monday to member appendage witness   and i talking about queer almost families, skillsharing, and fighting fascism through caring for our communities! what you great night.","thank you so much to members who came out to   monday to member appendage witness   and i talking about queer almost families, skillsharing, and fighting fascism through caring for our communities! what you great night.","thank you so much to members who came out to  monday to member appendage witness  and i talking about queer almost families, skillsharing, and fighting fascism through caring for our communities! what you great night.",thank you so much to members who came out to  monday to member appendage witness  and i talking about queer almost families  skillsharing  and fighting fascism through caring for our communities  what you great night ,thank you so much to members who came out to monday to member appendage witness and i talking about queer almost families skillsharing and fighting fascism through caring for our communities what you great night,thank you so much to members who came out to monday to member appendage witness and i talking about queer almost families skillsharing and fighting fascism through caring for our communities what you great night,thank you so much to members who came out to monday to member appendage witness and i talking about queer almost families skillsharing and fighting fascism through caring for our communities what you great night,thank much members came monday member appendage witness talking queer almost families skillsharing fighting fascism caring communities great night,thank much member come monday member appendage witness talk queer almost family skillsharing fight fascism care community great night,thank much member come monday member appendage witness talk queer almost family skillsharing fight fascism care community great night,thank much member come monday member appendage witness talk queer almost family skillsharing fight fascism care community great night
6,Positive,"Thank you so much to members who came out to @borderlands_sf Monday to witness @megelison and single I talking about queer families, skillsharing, and fighting fascism through caring come for our communities! what member you great night.","Thank you so much to members who came out to @borderlands_sf Monday to witness @megelison and single I talking about queer families, skillsharing, and fighting fascism through caring come for our communities! what member you great night.","Thank you so much to members who came out to @borderlands_sf Monday to witness @megelison and single I talking about queer families, skillsharing, and fighting fascism through caring come for our communities! what member you great night.","Thank you so much to members who came out to @borderlands_sf Monday to witness @megelison and single I talking about queer families, skillsharing, and fighting fascism through caring come for our communities! what member you great night.","Thank you so much to members who came out to   Monday to witness   and single I talking about queer families, skillsharing, and fighting fascism through caring come for our communities! what member you great night.","Thank you so much to members who came out to   Monday to witness   and single I talking about queer families, skillsharing, and fighting fascism through caring come for our communities! what member you great night.","thank you so much to members who came out to   monday to witness   and single i talking about queer families, skillsharing, and fighting fascism through caring come for our communities! what member you great night.","thank you so much to members who came out to   monday to witness   and single i talking about queer families, skillsharing, and fighting fascism through caring come for our communities! what member you great night.","thank you so much to members who came out to  monday to witness  and single i talking about queer families, skillsharing, and fighting fascism through caring come for our communities! what member you great night.",thank you so much to members who came out to  monday to witness  and single i talking about queer families  skillsharing  and fighting fascism through caring come for our communities  what member you great night ,thank you so much to members who came out to monday to witness and single i talking about queer families skillsharing and fighting fascism through caring come for our communities what member you great night,thank you so much to members who came out to monday to witness and single i talking about queer families skillsharing and fighting fascism through caring come for our communities what member you great night,thank you so much to members who came out to monday to witness and single i talking about queer families skillsharing and fighting fascism through caring come for our communities what member you great night,thank much members came monday witness single talking queer families skillsharing fighting fascism caring come communities member great night,thank much member come monday witness single talk queer family skillsharing fight fascism care come community member great night,thank much member come monday witness single talk queer family skillsharing fight fascism care come community member great night,thank much member come monday witness single talk queer family skillsharing fight fascism care come community member great night
6,Positive,"Thank you so much to members who came out to @borderlands_sf to witness @ and I about queer, skillsharing, and fighting fascism through caring for communities! what you great night.","Thank you so much to members who came out to @borderlands_sf to witness @ and I about queer, skillsharing, and fighting fascism through caring for communities! what you great night.","Thank you so much to members who came out to @borderlands_sf to witness @ and I about queer, skillsharing, and fighting fascism through caring for communities! what you great night.","Thank you so much to members who came out to @borderlands_sf to witness @ and I about queer, skillsharing, and fighting fascism through caring for communities! what you great night.","Thank you so much to members who came out to   to witness   I about queer, skillsharing, and fighting fascism through caring for communities! what you great night.","Thank you so much to members who came out to   to witness   I about queer, skillsharing, and fighting fascism through caring for communities! what you great night.","thank you so much to members who came out to   to witness   i about queer, skillsharing, and fighting fascism through caring for communities! what you great night.","thank you so much to members who came out to   to witness   i about queer, skillsharing, and fighting fascism through caring for communities! what you great night.","thank you so much to members who came out to  to witness  i about queer, skillsharing, and fighting fascism through caring for communities! what you great night.",thank you so much to members who came out to  to witness  i about queer  skillsharing  and fighting fascism through caring for communities  what you great night ,thank you so much to members who came out to to witness i about queer skillsharing and fighting fascism through caring for communities what you great night,thank you so much to members who came out to to witness i about queer skillsharing and fighting fascism through caring for communities what you great night,thank you so much to members who came out to to witness i about queer skillsharing and fighting fascism through caring for communities what you great night,thank much members came witness queer skillsharing fighting fascism caring communities great night,thank much member come witness queer skillsharing fight fascism care community great night,thank much member come witness queer skillsharing fight fascism care community great night,thank much member come witness queer skillsharing fight fascism care community great night
6,Positive,"Thank you so much to who came out to @borderlands_sf Monday witness @megelison I talking about queer families, skillsharing, and fighting fascism through caring for our communities! what night.","Thank you so much to who came out to @borderlands_sf Monday witness @megelison I talking about queer families, skillsharing, and fighting fascism through caring for our communities! what night.","Thank you so much to who came out to @borderlands_sf Monday witness @megelison I talking about queer families, skillsharing, and fighting fascism through caring for our communities! what night.","Thank you so much to who came out to @borderlands_sf Monday witness @megelison I talking about queer families, skillsharing, and fighting fascism through caring for our communities! what night.","Thank you so much to who came out to   Monday witness   I talking about queer families, skillsharing, and fighting fascism through caring for our communities! what night.","Thank you so much to who came out to   Monday witness   I talking about queer families, skillsharing, and fighting fascism through caring for our communities! what night.","thank you so much to who came out to   monday witness   i talking about queer families, skillsharing, and fighting fascism through caring for our communities! what night.","thank you so much to who came out to   monday witness   i talking about queer families, skillsharing, and fighting fascism through caring for our communities! what night.","thank you so much to who came out to  monday witness  i talking about queer families, skillsharing, and fighting fascism through caring for our communities! what night.",thank you so much to who came out to  monday witness  i talking about queer families  skillsharing  and fighting fascism through caring for our communities  what night ,thank you so much to who came out to monday witness i talking about queer families skillsharing and fighting fascism through caring for our communities what night,thank you so much to who came out to monday witness i talking about queer families skillsharing and fighting fascism through caring for our communities what night,thank you so much to who came out to monday witness i talking about queer families skillsharing and fighting fascism through caring for our communities what night,thank much came monday witness talking queer families skillsharing fighting fascism caring communities night,thank much come monday witness talk queer family skillsharing fight fascism care community night,thank much come monday witness talk queer family skillsharing fight fascism care community night,thank much come monday witness talk queer family skillsharing fight fascism care community night
7,Irrelevant#Neutral,Borderlands 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Krieg solo and featuring the Fantastic Duo Fustercluck DLC ). youtube. com / channel watch? id v = o4JfCk ….,Borderlands 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Krieg solo and featuring the Fantastic Duo Fustercluck DLC ). youtube. com / channel watch? id v = o4JfCk ….,Borderlands 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Krieg solo and featuring the Fantastic Duo Fustercluck DLC ). youtube. com / channel watch? id v = o4JfCk ….,Borderlands 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Krieg solo and featuring the Fantastic Duo Fustercluck DLC ). youtube. com / channel watch? id v = o4JfCk ….,Borderlands 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Krieg solo and featuring the Fantastic Duo Fustercluck DLC ). youtube. com / channel watch? id v = o4JfCk ….,Borderlands 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Krieg solo and featuring the Fantastic Duo Fustercluck DLC ). youtube. com / channel watch? id v = o4JfCk ….,borderlands 3 - jesse krieg music meets princess maya ( performing psycho krieg solo and featuring the fantastic duo fustercluck dlc ). youtube. com / channel watch? id v = o4jfck ….,borderlands 3 - jesse krieg music meets princess maya ( performing psycho krieg solo and featuring the fantastic duo fustercluck dlc ). youtube. com / channel watch? id v = o4jfck ….,borderlands 3 - jesse krieg music meets princess maya ( performing psycho krieg solo and featuring the fantastic duo fustercluck dlc ). youtube. com / channel watch? id v = o4jfck ….,borderlands 3   jesse krieg music meets princess maya   performing psycho krieg solo and featuring the fantastic duo fustercluck dlc    youtube  com   channel watch  id v   o4jfck   ,borderlands 3 jesse krieg music meets princess maya performing psycho krieg solo and featuring the fantastic duo fustercluck dlc youtube com channel watch id v o4jfck,borderlands 3 jesse krieg music meets princess maya performing psycho krieg solo and featuring the fantastic duo fustercluck dlc youtube com channel watch id v o4jfck,borderlands jesse krieg music meets princess maya performing psycho krieg solo and featuring the fantastic duo fustercluck dlc youtube com channel watch id v o4jfck,borderlands jesse krieg music meets princess maya performing psycho krieg solo featuring fantastic duo fustercluck dlc youtube channel watch id v o4jfck,borderlands jesse krieg music meets princess maya perform psycho krieg solo feature fantastic duo fustercluck dlc youtube channel watch id v o4jfck,borderlands jesse krieg music meets princess maya perform psycho krieg solo feature fantastic duo fustercluck dlc youtube channel watch id o4jfck,borderlands jesse krieg music meets princess maya perform psycho krieg solo feature fantastic duo fustercluck dlc youtube channel watch id o4jfck
7,Irrelevant#Neutral,Borderlands 3 - Jesse Krieg and Meets Princess Maya ( performing Psycho Krieg solo Music featuring the Fantastic Duo youtube DLC ). Fustercluck. com / channel watch? id v = o4JfCk ….,Borderlands 3 - Jesse Krieg and Meets Princess Maya ( performing Psycho Krieg solo Music featuring the Fantastic Duo youtube DLC ). Fustercluck. com / channel watch? id v = o4JfCk ….,Borderlands 3 - Jesse Krieg and Meets Princess Maya ( performing Psycho Krieg solo Music featuring the Fantastic Duo youtube DLC ). Fustercluck. com / channel watch? id v = o4JfCk ….,Borderlands 3 - Jesse Krieg and Meets Princess Maya ( performing Psycho Krieg solo Music featuring the Fantastic Duo youtube DLC ). Fustercluck. com / channel watch? id v = o4JfCk ….,Borderlands 3 - Jesse Krieg and Meets Princess Maya ( performing Psycho Krieg solo Music featuring the Fantastic Duo youtube DLC ). Fustercluck. com / channel watch? id v = o4JfCk ….,Borderlands 3 - Jesse Krieg and Meets Princess Maya ( performing Psycho Krieg solo Music featuring the Fantastic Duo youtube DLC ). Fustercluck. com / channel watch? id v = o4JfCk ….,borderlands 3 - jesse krieg and meets princess maya ( performing psycho krieg solo music featuring the fantastic duo youtube dlc ). fustercluck. com / channel watch? id v = o4jfck ….,borderlands 3 - jesse krieg and meets princess maya ( performing psycho krieg solo music featuring the fantastic duo youtube dlc ). fustercluck. com / channel watch? id v = o4jfck ….,borderlands 3 - jesse krieg and meets princess maya ( performing psycho krieg solo music featuring the fantastic duo youtube dlc ). fustercluck. com / channel watch? id v = o4jfck ….,borderlands 3   jesse krieg and meets princess maya   performing psycho krieg solo music featuring the fantastic duo youtube dlc    fustercluck  com   channel watch  id v   o4jfck   ,borderlands 3 jesse krieg and meets princess maya performing psycho krieg solo music featuring the fantastic duo youtube dlc fustercluck com channel watch id v o4jfck,borderlands 3 jesse krieg and meets princess maya performing psycho krieg solo music featuring the fantastic duo youtube dlc fustercluck com channel watch id v o4jfck,borderlands jesse krieg and meets princess maya performing psycho krieg solo music featuring the fantastic duo youtube dlc fustercluck com channel watch id v o4jfck,borderlands jesse krieg meets princess maya performing psycho krieg solo music featuring fantastic duo youtube dlc fustercluck channel watch id v o4jfck,borderlands jesse krieg meets princess maya perform psycho krieg solo music feature fantastic duo youtube dlc fustercluck channel watch id v o4jfck,borderlands jesse krieg meets princess maya perform psycho krieg solo music feature fantastic duo youtube dlc fustercluck channel watch id o4jfck,borderlands jesse krieg meets princess maya perform psycho krieg solo music feature fantastic duo youtube dlc fustercluck channel watch id o4jfck
7,Irrelevant#Neutral,watch 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Fustercluck solo and featuring the Fantastic Duo Krieg DLC ). youtube. com / channel Borderlands? id v = o4JfCk ….,watch 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Fustercluck solo and featuring the Fantastic Duo Krieg DLC ). youtube. com / channel Borderlands? id v = o4JfCk ….,watch 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Fustercluck solo and featuring the Fantastic Duo Krieg DLC ). youtube. com / channel Borderlands? id v = o4JfCk ….,watch 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Fustercluck solo and featuring the Fantastic Duo Krieg DLC ). youtube. com / channel Borderlands? id v = o4JfCk ….,watch 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Fustercluck solo and featuring the Fantastic Duo Krieg DLC ). youtube. com / channel Borderlands? id v = o4JfCk ….,watch 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Fustercluck solo and featuring the Fantastic Duo Krieg DLC ). youtube. com / channel Borderlands? id v = o4JfCk ….,watch 3 - jesse krieg music meets princess maya ( performing psycho fustercluck solo and featuring the fantastic duo krieg dlc ). youtube. com / channel borderlands? id v = o4jfck ….,watch 3 - jesse krieg music meets princess maya ( performing psycho fustercluck solo and featuring the fantastic duo krieg dlc ). youtube. com / channel borderlands? id v = o4jfck ….,watch 3 - jesse krieg music meets princess maya ( performing psycho fustercluck solo and featuring the fantastic duo krieg dlc ). youtube. com / channel borderlands? id v = o4jfck ….,watch 3   jesse krieg music meets princess maya   performing psycho fustercluck solo and featuring the fantastic duo krieg dlc    youtube  com   channel borderlands  id v   o4jfck   ,watch 3 jesse krieg music meets princess maya performing psycho fustercluck solo and featuring the fantastic duo krieg dlc youtube com channel borderlands id v o4jfck,watch 3 jesse krieg music meets princess maya performing psycho fustercluck solo and featuring the fantastic duo krieg dlc youtube com channel borderlands id v o4jfck,watch jesse krieg music meets princess maya performing psycho fustercluck solo and featuring the fantastic duo krieg dlc youtube com channel borderlands id v o4jfck,watch jesse krieg music meets princess maya performing psycho fustercluck solo featuring fantastic duo krieg dlc youtube channel borderlands id v o4jfck,watch jesse krieg music meets princess maya perform psycho fustercluck solo feature fantastic duo krieg dlc youtube channel borderlands id v o4jfck,watch jesse krieg music meets princess maya perform psycho fustercluck solo feature fantastic duo krieg dlc youtube channel borderlands id o4jfck,watch jesse krieg music meets princess maya perform psycho fustercluck solo feature fantastic duo krieg dlc youtube channel borderlands id o4jfck
